"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DG0100-002 USDA Departmental Directives Definitions Glossary (09/26/18),OCIO,OBPA-LRAS-DPO,09/26/18,,
DM0100-001 Preparing Departmental Directives (01/04/18),OCIO,OBPA-LRAS-DPO,01/04/18,,
DM1074-001 Procedures for Responding to Allegations of Compromised Scientific Integrity (11/18/16),OCS,OCS,11/18/16,,
DM1260-001 Legislative Reports and Proposals (05/27/21),OBPA,OBPA-LRAS,05/27/21,05/27/24,
"DM1800-001 Incident Preparedness, Response, and Recovery (12/11)",OHSEC,OHS-NSPS,12/01/11,,
DM2236-001 Shared Cost Programs (04/16/21),OCFO,OCFO-BF,04/16/21,04/16/24,
DM3020-001 Departmental Forms Manual (09/16/91),"Information Management Division, Office of Information Resources
Management",OBPA-LRAS-DPO,09/16/91,,
DM3107-001 Management of USDA IT Enterprise Initiatives Procedures (05/18/16),OCIO-EM,OCIO-EM,05/18/16,,
DM3160-001 Licensed Information Technology (IT) Software Procedures (06/11/19),OCIO-CEC,OCIO-CEC,06/11/19,06/11/22,
DM3180-001 Information Technology Standards Procedures (07/29/19),OCIO-IRMC,OCIO-IRMC-EAD,07/29/19,07/29/24,
DM3300-015 Secure Communication Systems (11/15/21),OHS-NSSP,OHS-NSSP,11/15/21,11/15/24,
DM3440-001 USDA Classified National Security Information Program Manual (06/09/16),OHSEC,OHS-PDSD,06/09/16,,
DM3505-005 Cybersecurity Incident Management Procedures (11/30/18),OCIO-ISC,OCIO-ISC,11/30/18,11/30/21,
DM3510-000 USDA Information Technology (IT) Restricted Space (08/19/04),OCIO-ASOC,OSSP,08/19/04,,
DM3510-001 Physical Security Standards for Information Technology (IT) Restricted Space (08/19/04),OCIO-ASOC,OSSP,08/19/04,,
DM3530-000 USDA Security Protection (02/17/05),OCIO-ASOC,OCIO-ISC,02/17/05,,
DM3530-002 USDA IBM/IBM Compatible Mainframe Security (07/15/04),OCIO-ASOC,OCIO-ISC,07/15/04,,
DM3530-003 USDA Use of Public Key Infrastructure (PKI) (07/15/04),OCIO-ASOC,OCIO-ISC,07/15/04,,
DM3530-004 Firewall Technical Security Standards (02/17/05),OCIO-ASOC,OCIO-ISC,02/17/05,,
DM3530-005 Encryption Security Standards (02/17/05),OCIO-ASOC,OCIO-ISC,02/17/05,,
"DM3545-002 Chapter 9, Pt. 2 USDA Information Systems Security Program (03/21/06)",OCIO-ASOC,OCIO-ISC,03/21/06,,
DM3560-001 Security Requirements for CPIC (02/17/05),OCIO-ISC,OCIO-ISC,02/17/05,,
DM3575-001 Security Controls in the System Life Cycle/System Development Life Cycle (05/27/05),OCIO-ASOC,OCIO-ISC,05/27/05,,
"DM4050-575-001 Pay Administration, Recruitment, Relocation and Retention Payments (06/21/10)",OHRM,OHRM-HRPD,06/21/10,,
